抓取时间,排名,艺人姓名,实时获赞数,距离上一名,粉丝数,点赞一次,点赞两次,点赞三次,错误信息
2026-06-28 12:41:35,1,王橹杰,6253,,32834,298,38,1956,
2026-06-28 12:41:35,2,杨博文,5114,1139,65404,202,26,1617,
2026-06-28 12:41:35,3,张桂源,4389,725,49631,211,44,1362,
2026-06-28 12:41:35,4,张函瑞,3206,1183,27756,111,29,1013,
2026-06-28 12:41:35,5,陈奕恒,3171,35,26618,162,24,981,
2026-06-28 12:41:35,6,陈浚铭,2619,552,29337,121,14,823,
2026-06-28 12:41:35,7,张奕然,2408,211,10863,82,8,767,
2026-06-28 12:41:35,8,左奇函,2163,245,20955,134,20,663,
2026-06-28 12:41:35,9,陈思罕,1680,483,12661,111,18,508,
2026-06-28 12:41:35,10,李煜东,706,974,16570,41,2,220,
